case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject019,v2,M2 band_connect,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,v2,M2 band_connect,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,v2,M3 expansion,3.0,3,4,0,4,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,v2,M3 expansion,5.0,3,4,0,4,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,v2,M3 expansion,6.0,3,4,1,3,2,0.25,0.3333,0.2857,5.408,5.408,5.408,0.0986,0.06
subject019,v2,M3 expansion,8.0,3,4,1,3,2,0.25,0.3333,0.2857,5.408,5.408,5.408,0.324,0.06
subject019,v2,M3 expansion,10.0,3,4,1,3,2,0.25,0.3333,0.2857,5.408,5.408,5.408,0.4592,0.06
subject019,v2,M4 wall_flux,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,v2,M4 wall_flux,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,v2,M4 wall_flux,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,v2,M4 wall_flux,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject019,v2,M4 wall_flux,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.57
subject021,sd:2,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.57
subject021,sd:2,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.57
subject021,sd:2,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.57
subject021,sd:2,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.57
subject021,sd:2,M2 band_connect,3.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.3966,0.09
subject021,sd:2,M2 band_connect,5.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.638,0.09
subject021,sd:2,M2 band_connect,6.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.6983,0.09
subject021,sd:2,M2 band_connect,8.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.7737,0.09
subject021,sd:2,M2 band_connect,10.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.819,0.09
subject021,sd:2,M3 expansion,3.0,3,6,3,3,0,0.5,1.0,0.6667,1.207,1.5,2.121,0.5977,0.11
subject021,sd:2,M3 expansion,5.0,3,6,3,3,0,0.5,1.0,0.6667,1.207,1.5,2.121,0.7586,0.11
subject021,sd:2,M3 expansion,6.0,3,6,3,3,0,0.5,1.0,0.6667,1.207,1.5,2.121,0.7988,0.11
subject021,sd:2,M3 expansion,8.0,3,6,3,3,0,0.5,1.0,0.6667,1.207,1.5,2.121,0.8491,0.11
subject021,sd:2,M3 expansion,10.0,3,6,3,3,0,0.5,1.0,0.6667,1.207,1.5,2.121,0.8793,0.11
subject021,sd:2,M4 wall_flux,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2,M4 wall_flux,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2,M4 wall_flux,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2,M4 wall_flux,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2,M4 wall_flux,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.01
subject021,sd:2.5,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.62
subject021,sd:2.5,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.62
subject021,sd:2.5,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.62
subject021,sd:2.5,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.62
