case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject019,sd:2.5+r5,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5+r5,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5+r5,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5+r5,M2 band_connect,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:2.5+r5,M2 band_connect,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:2.5+r5,M2 band_connect,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:2.5+r5,M2 band_connect,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:2.5+r5,M2 band_connect,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:2.5+r5,M3 expansion,3.0,3,2,1,1,2,0.5,0.3333,0.4,1.5,1.5,1.5,0.4999,0.06
subject019,sd:2.5+r5,M3 expansion,5.0,3,2,2,0,1,1.0,0.6667,0.8,2.25,2.25,3.0,0.55,0.06
subject019,sd:2.5+r5,M3 expansion,6.0,3,2,2,0,1,1.0,0.6667,0.8,2.25,2.25,3.0,0.625,0.06
subject019,sd:2.5+r5,M3 expansion,8.0,3,2,2,0,1,1.0,0.6667,0.8,2.25,2.25,3.0,0.7187,0.06
subject019,sd:2.5+r5,M3 expansion,10.0,3,2,2,0,1,1.0,0.6667,0.8,2.25,2.25,3.0,0.775,0.06
subject019,sd:3,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3,M2 band_connect,3.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,5.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,6.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,8.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M2 band_connect,10.0,3,1,0,1,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:3,M3 expansion,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.2928,0.06
subject019,sd:3,M3 expansion,5.0,3,4,2,2,1,0.5,0.6667,0.5714,2.561,2.561,3.0,0.4878,0.07
subject019,sd:3,M3 expansion,6.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.415,0.07
subject019,sd:3,M3 expansion,8.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.5613,0.07
subject019,sd:3,M3 expansion,10.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.649,0.07
subject019,sd:3+r5,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3+r5,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3+r5,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3+r5,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3+r5,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.31
subject019,sd:3+r5,M2 band_connect,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:3+r5,M2 band_connect,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:3+r5,M2 band_connect,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:3+r5,M2 band_connect,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:3+r5,M2 band_connect,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject019,sd:3+r5,M3 expansion,3.0,3,3,1,2,2,0.3333,0.3333,0.3333,2.121,2.121,2.121,0.2928,0.06
subject019,sd:3+r5,M3 expansion,5.0,3,3,2,1,1,0.6667,0.6667,0.6667,2.561,2.561,3.0,0.4878,0.06
subject019,sd:3+r5,M3 expansion,6.0,3,3,3,0,0,1.0,1.0,1.0,3.51,3.0,5.408,0.415,0.06
subject019,sd:3+r5,M3 expansion,8.0,3,3,3,0,0,1.0,1.0,1.0,3.51,3.0,5.408,0.5613,0.06
subject019,sd:3+r5,M3 expansion,10.0,3,3,3,0,0,1.0,1.0,1.0,3.51,3.0,5.408,0.649,0.06
subject021,sd:2.5,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.58
subject021,sd:2.5,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.58
subject021,sd:2.5,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.58
subject021,sd:2.5,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.58
subject021,sd:2.5,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.58
subject021,sd:2.5,M2 band_connect,3.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.5977,0.1
subject021,sd:2.5,M2 band_connect,5.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.7586,0.1
subject021,sd:2.5,M2 band_connect,6.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.7988,0.1
subject021,sd:2.5,M2 band_connect,8.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.8491,0.1
subject021,sd:2.5,M2 band_connect,10.0,3,4,3,1,0,0.75,1.0,0.8571,1.207,1.5,2.121,0.8793,0.1
subject021,sd:2.5,M3 expansion,3.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.431,0.13
subject021,sd:2.5,M3 expansion,5.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.6586,0.13
subject021,sd:2.5,M3 expansion,6.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.7155,0.13
subject021,sd:2.5,M3 expansion,8.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.7866,0.13
subject021,sd:2.5,M3 expansion,10.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.8293,0.13
subject021,sd:2.5+r5,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.58
subject021,sd:2.5+r5,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.58
subject021,sd:2.5+r5,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.58
subject021,sd:2.5+r5,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.58
subject021,sd:2.5+r5,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.58
subject021,sd:2.5+r5,M2 band_connect,3.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.3966,0.09
subject021,sd:2.5+r5,M2 band_connect,5.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.638,0.09
subject021,sd:2.5+r5,M2 band_connect,6.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.6983,0.09
subject021,sd:2.5+r5,M2 band_connect,8.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.7737,0.09
subject021,sd:2.5+r5,M2 band_connect,10.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.819,0.09
subject021,sd:2.5+r5,M3 expansion,3.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.431,0.11
subject021,sd:2.5+r5,M3 expansion,5.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.6586,0.11
subject021,sd:2.5+r5,M3 expansion,6.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.7155,0.11
subject021,sd:2.5+r5,M3 expansion,8.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.7866,0.11
subject021,sd:2.5+r5,M3 expansion,10.0,3,5,3,2,0,0.6,1.0,0.75,1.707,1.5,2.121,0.8293,0.11
subject021,sd:3,M1 frangi,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.293,0.58
subject021,sd:3,M1 frangi,5.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.3637,0.58
subject021,sd:3,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.58
subject021,sd:3,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.58
