case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject021,sd:3+r5,M3 expansion,8.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.7866,0.1
subject021,sd:3+r5,M3 expansion,10.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.8293,0.1
subject021,sd:3+f230,M3 expansion,3.0,3,8,3,5,0,0.375,1.0,0.5455,1.914,2.121,2.121,0.362,0.11
subject021,sd:3+f230,M3 expansion,5.0,3,8,3,5,0,0.375,1.0,0.5455,1.914,2.121,2.121,0.6172,0.11
subject021,sd:3+f230,M3 expansion,6.0,3,8,3,5,0,0.375,1.0,0.5455,1.914,2.121,2.121,0.681,0.11
subject021,sd:3+f230,M3 expansion,8.0,3,8,3,5,0,0.375,1.0,0.5455,1.914,2.121,2.121,0.7608,0.11
subject021,sd:3+f230,M3 expansion,10.0,3,8,3,5,0,0.375,1.0,0.5455,1.914,2.121,2.121,0.8086,0.11
subject021,sd:3+f230+r5,M3 expansion,3.0,3,4,3,1,0,0.75,1.0,0.8571,1.914,2.121,2.121,0.362,0.1
subject021,sd:3+f230+r5,M3 expansion,5.0,3,4,3,1,0,0.75,1.0,0.8571,1.914,2.121,2.121,0.6172,0.1
subject021,sd:3+f230+r5,M3 expansion,6.0,3,4,3,1,0,0.75,1.0,0.8571,1.914,2.121,2.121,0.681,0.1
subject021,sd:3+f230+r5,M3 expansion,8.0,3,4,3,1,0,0.75,1.0,0.8571,1.914,2.121,2.121,0.7608,0.1
subject021,sd:3+f230+r5,M3 expansion,10.0,3,4,3,1,0,0.75,1.0,0.8571,1.914,2.121,2.121,0.8086,0.1
subject021,sd:3+f250,M3 expansion,3.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.431,0.13
subject021,sd:3+f250,M3 expansion,5.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.6586,0.13
subject021,sd:3+f250,M3 expansion,6.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7155,0.13
subject021,sd:3+f250,M3 expansion,8.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.7866,0.13
subject021,sd:3+f250,M3 expansion,10.0,3,7,3,4,0,0.4286,1.0,0.6,1.707,1.5,2.121,0.8293,0.13
subject021,sd:3+f250+r5,M3 expansion,3.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.431,0.11
subject021,sd:3+f250+r5,M3 expansion,5.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.6586,0.11
subject021,sd:3+f250+r5,M3 expansion,6.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.7155,0.11
subject021,sd:3+f250+r5,M3 expansion,8.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.7866,0.11
subject021,sd:3+f250+r5,M3 expansion,10.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.8293,0.11
subject021,sd:3+f280,M3 expansion,3.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.431,0.13
subject021,sd:3+f280,M3 expansion,5.0,3,10,3,7,0,0.3,1.0,0.4615,1.707,1.5,2.121,0.6586,0.13
