k_sd,instance_id,cluster_id,ostium_x_mm,ostium_y_mm,ostium_z_mm,seed_x_mm,seed_y_mm,seed_z_mm,dir_x,dir_y,dir_z,radius_mm
2.5,branch_003,9,22.09,29.1,-1030.44,18.26,26.19,-1029.07,-0.7668,-0.5807,0.2736,0.96
2.5,branch_005,12,21.31,34.57,-972.84,22.37,33.21,-977.53,0.2117,-0.2728,-0.9385,0.782
2.5,branch_004,14,16.62,39.26,-1053.64,14.33,37.47,-1049.57,-0.4585,-0.3585,0.8132,0.959
2.5,branch_008,17,11.14,35.35,-1039.24,11.7,36.45,-1034.39,0.1105,0.2186,0.9695,0.67
2.5,branch_007,18,18.96,28.32,-1013.64,19.52,28.29,-1008.67,0.112,-0.0055,0.9937,0.666
2.5,branch_006,19,20.53,35.35,-959.24,19.04,34.42,-954.56,-0.2988,-0.187,0.9358,0.174
3.0,branch_001,2,22.09,35.35,-994.44,18.11,33.11,-996.47,-0.7959,-0.4493,-0.4058,1.072
3.0,branch_007,7,11.14,36.13,-1052.04,10.87,36.41,-1047.05,-0.0541,0.0541,0.9971,0.733
3.0,branch_002,9,22.09,29.1,-1030.44,18.28,26.2,-1028.99,-0.7623,-0.5787,0.2898,0.931
3.0,branch_008,11,18.96,32.23,-967.24,23.52,33.36,-965.51,0.9103,0.227,0.3462,0.782
3.0,branch_005,12,21.31,34.57,-972.84,22.39,32.83,-977.4,0.2155,-0.3491,-0.912,0.782
3.0,branch_003,14,16.62,39.26,-1053.64,14.34,37.47,-1049.56,-0.4549,-0.3582,0.8153,1.002
3.0,branch_006,17,11.14,35.35,-1040.04,11.63,36.36,-1035.17,0.0962,0.2012,0.9748,0.782
3.0,branch_004,18,18.96,27.53,-1016.84,19.59,27.39,-1011.88,0.1249,-0.029,0.9917,0.391
3.5,branch_001,2,22.09,35.35,-994.44,24.99,39.41,-994.05,0.5797,0.811,0.0788,0.177
3.5,branch_002,9,22.09,29.1,-1030.44,18.14,26.16,-1029.59,-0.7911,-0.5876,0.1697,0.092
3.5,branch_003,14,17.4,39.26,-1053.64,15.06,37.45,-1049.61,-0.469,-0.3629,0.8052,1.021
3.5,branch_005,17,11.14,35.35,-1040.04,11.63,36.2,-1035.13,0.0966,0.1684,0.981,0.744
3.5,branch_007,18,19.75,29.88,-1011.24,20.33,30.44,-1006.3,0.1161,0.1115,0.987,0.469
3.5,branch_006,20,19.75,27.53,-1044.84,18.98,26.0,-1040.14,-0.1542,-0.3068,0.9392,0.719
3.5,branch_004,21,11.14,43.17,-971.24,6.19,42.51,-971.18,-0.991,-0.1335,0.0124,0.304
4.0,branch_005,5,21.31,29.88,-1056.84,21.31,29.66,-1051.85,0.0,-0.0445,0.999,0.782
4.0,branch_001,14,17.4,39.26,-1053.64,15.07,37.49,-1049.59,-0.4667,-0.3543,0.8104,0.933
4.0,branch_004,18,19.75,29.88,-1011.24,20.33,30.44,-1006.3,0.1161,0.1115,0.987,0.469
4.0,branch_002,21,11.14,43.17,-972.04,6.24,42.46,-971.38,-0.9811,-0.142,0.1317,0.652
4.0,branch_003,22,13.49,45.52,-960.04,10.83,45.17,-955.82,-0.5317,-0.0687,0.8441,0.59
